land;wahlkreis;gruppe;erststimmen;zweitstimmen
5;103;Die PARTEI;2403;1325
5;103;FREIE WÄHLER;-;331
5;103;Volksabstimmung;-;140
5;103;ÖDP;-;164
5;103;MLPD;266;106
5;103;SGP;-;18
5;103;AD-DEMOKRATEN;-;1214
5;103;BGE;-;166
5;103;DiB;-;185
5;103;DKP;-;20
5;103;DM;-;247
5;103;Die Humanisten;-;105
5;103;Gesundheitsforschung;-;167
5;103;Tierschutzpartei;-;1350
5;103;V-Partei³;-;173
5;104;Wahlberechtigte;205238;-
5;104;Wähler;160318;-
5;104;Ungültige;1768;1153
5;104;Gültige;158550;159165
5;104;CDU;70762;54128
5;104;SPD;40820;36598
5;104;GRÜNE;11013;11795
5;104;DIE LINKE;8647;10216
5;104;FDP;13202;25756
5;104;AfD;14106;15053
5;104;PIRATEN;-;708
5;104;NPD;-;269
5;104;Die PARTEI;-;1069
5;104;FREIE WÄHLER;-;343
5;104;Volksabstimmung;-;155
5;104;ÖDP;-;176
5;104;MLPD;-;59
5;104;SGP;-;17
5;104;AD-DEMOKRATEN;-;571
5;104;BGE;-;147
5;104;DiB;-;178
5;104;DKP;-;22
5;104;DM;-;167
5;104;Die Humanisten;-;107
5;104;Gesundheitsforschung;-;160
5;104;Tierschutzpartei;-;1291
5;104;V-Partei³;-;180
5;105;Wahlberechtigte;163228;-
5;105;Wähler;125515;-
5;105;Ungültige;1530;1072
5;105;Gültige;123985;124443
5;105;CDU;48689;40603
5;105;SPD;37468;30483
5;105;GRÜNE;7567;8599
5;105;DIE LINKE;6825;8458
5;105;FDP;10795;19691
5;105;AfD;11143;11926
5;105;PIRATEN;1451;639
5;105;NPD;-;252
5;105;Die PARTEI;-;822
5;105;FREIE WÄHLER;-;294
5;105;Volksabstimmung;-;114
5;105;ÖDP;-;122
5;105;MLPD;-;73
5;105;SGP;-;13
5;105;AD-DEMOKRATEN;-;494
5;105;BGE;-;99
5;105;DiB;-;119
5;105;DKP;-;15
5;105;DM;-;139
5;105;Die Humanisten;-;57
5;105;Gesundheitsforschung;-;119
5;105;Tierschutzpartei;-;1186
5;105;V-Partei³;-;126
5;105;EB: Willing;47;-
5;106;Wahlberechtigte;220762;-
5;106;Wähler;172947;-
5;106;Ungültige;1560;1037
5;106;Gültige;171387;171910
5;106;CDU;69273;55052
5;106;SPD;41903;33493
5;106;GRÜNE;14408;17148
5;106;DIE LINKE;12611;14675
5;106;FDP;21944;33940
5;106;AfD;10912;12029
5;106;PIRATEN;-;620
5;106;NPD;-;204
5;106;Die PARTEI;-;1417
5;106;FREIE WÄHLER;-;310
5;106;Volksabstimmung;-;93
5;106;ÖDP;-;130
5;106;MLPD;336;121
5;106;SGP;-;14
5;106;AD-DEMOKRATEN;-;444
5;106;BGE;-;213
5;106;DiB;-;328
5;106;DKP;-;46
5;106;DM;-;163
5;106;Die Humanisten;-;138
5;106;Gesundheitsforschung;-;105
5;106;Tierschutzpartei;-;1024
5;106;V-Partei³;-;203
5;107;Wahlberechtigte;193175;-
5;107;Wähler;143599;-
5;107;Ungültige;1771;1053
5;107;Gültige;141828;142546
5;107;CDU;47950;40606
5;107;SPD;38727;33218
5;107;GRÜNE;11778;14379
5;107;DIE LINKE;18499;14111
5;107;FDP;13049;21277
5;107;AfD;11530;12968
5;107;PIRATEN;-;628
5;107;NPD;-;246
5;107;Die PARTEI;-;1589
5;107;FREIE WÄHLER;-;371
5;107;Volksabstimmung;-;124
5;107;ÖDP;-;134
5;107;MLPD;295;116
5;107;SGP;-;9
5;107;AD-DEMOKRATEN;-;529
5;107;BGE;-;181
5;107;DiB;-;269
5;107;DKP;-;42
5;107;DM;-;180
5;107;Die Humanisten;-;129
5;107;Gesundheitsforschung;-;145
5;107;Tierschutzpartei;-;1098
5;107;V-Partei³;-;197
5;108;Wahlberechtigte;214779;-
5;108;Wähler;160049;-
5;108;Ungültige;1757;1276
5;108;Gültige;158292;158773
5;108;CDU;69658;56967
5;108;SPD;45314;37447
5;108;GRÜNE;8131;9582
5;108;DIE LINKE;8535;9894
5;108;FDP;11466;23585
5;108;AfD;13680;14893
5;108;PIRATEN;-;723
5;108;NPD;-;345
5;108;Die PARTEI;-;1223
5;108;FREIE WÄHLER;1508;545
5;108;Volksabstimmung;-;139
5;108;ÖDP;-;159
5;108;MLPD;-;82
5;108;SGP;-;13
5;108;AD-DEMOKRATEN;-;849
5;108;BGE;-;164
5;108;DiB;-;222
5;108;DKP;-;28
5;108;DM;-;159
5;108;Die Humanisten;-;102
5;108;Gesundheitsforschung;-;140
5;108;Tierschutzpartei;-;1314
5;108;V-Partei³;-;198
5;109;Wahlberechtigte;190552;-
5;109;Wähler;132023;-
5;109;Ungültige;1580;1187
5;109;Gültige;130443;130836
5;109;CDU;57766;46786
5;109;SPD;31766;30547
5;109;GRÜNE;7814;8169
5;109;DIE LINKE;8921;9627
5;109;FDP;10225;17946
5;109;AfD;11910;12373
5;109;PIRATEN;-;582
5;109;NPD;-;350
5;109;Die PARTEI;1956;1280
5;109;FREIE WÄHLER;-;279
5;109;Volksabstimmung;-;126
5;109;ÖDP;-;110
5;109;MLPD;-;85
5;109;SGP;-;6
5;109;AD-DEMOKRATEN;-;613
5;109;BGE;-;128
5;109;DiB;-;144
5;109;DKP;-;22
5;109;DM;-;111
5;109;Die Humanisten;-;91
5;109;Gesundheitsforschung;-;118
5;109;Tierschutzpartei;-;1100
5;109;V-Partei³;-;243
5;109;EB: Müller-Horn;85;-
5;110;Wahlberechtigte;201450;-
5;110;Wähler;155430;-
5;110;Ungültige;1756;1251
5;110;Gültige;153674;154179
5;110;CDU;65223;54909
5;110;SPD;39146;34053
5;110;GRÜNE;10140;10870
5;110;DIE LINKE;7816;9805
5;110;FDP;17674;26859
5;110;AfD;11197;12104
5;110;PIRATEN;-;643
5;110;NPD;-;310
5;110;Die PARTEI;2307;1309
5;110;FREIE WÄHLER;-;371
5;110;Volksabstimmung;-;123
5;110;ÖDP;-;157
5;110;MLPD;171;83
5;110;SGP;-;6
5;110;AD-DEMOKRATEN;-;754
5;110;BGE;-;135
5;110;DiB;-;160
5;110;DKP;-;20
5;110;DM;-;127
5;110;Die Humanisten;-;63
5;110;Gesundheitsforschung;-;116
5;110;Tierschutzpartei;-;1039
5;110;V-Partei³;-;163
5;111;Wahlberechtigte;227423;-
5;111;Wähler;173285;-
5;111;Ungültige;1693;1269
5;111;Gültige;171592;172016
5;111;CDU;82165;65474
5;111;SPD;42933;38368
5;111;GRÜNE;11477;11590
5;111;DIE LINKE;8747;10343
5;111;FDP;14234;27577
5;111;AfD;12036;12841
5;111;PIRATEN;-;712
5;111;NPD;-;369
5;111;Die PARTEI;-;1204
5;111;FREIE WÄHLER;-;433
5;111;Volksabstimmung;-;138
5;111;ÖDP;-;148
5;111;MLPD;-;52
5;111;SGP;-;9
5;111;AD-DEMOKRATEN;-;363
5;111;BGE;-;151
5;111;DiB;-;185
5;111;DKP;-;29
5;111;DM;-;162
5;111;Die Humanisten;-;96
5;111;Gesundheitsforschung;-;163
5;111;Tierschutzpartei;-;1445
5;111;V-Partei³;-;164
5;112;Wahlberechtigte;226096;-
5;112;Wähler;169043;-
5;112;Ungültige;1666;1390
5;112;Gültige;167377;167653
5;112;CDU;75376;69692
5;112;SPD;51197;39317
5;112;GRÜNE;8229;10098
5;112;DIE LINKE;7095;9366
5;112;FDP;12690;22688
5;112;AfD;11016;11621
5;112;PIRATEN;-;571
5;112;NPD;-;331
5;112;Die PARTEI;-;959
5;112;FREIE WÄHLER;1606;613
5;112;Volksabstimmung;-;125
5;112;ÖDP;-;157
5;112;MLPD;-;63
5;112;SGP;-;5
5;112;AD-DEMOKRATEN;-;56
5;112;BGE;-;134
5;112;DiB;-;164
5;112;DKP;-;16
5;112;DM;-;120
5;112;Die Humanisten;-;72
5;112;Gesundheitsforschung;-;141
5;112;Tierschutzpartei;-;1161
5;112;V-Partei³;-;183
5;112;EB: Bovenkerk;168;-
5;113;Wahlberechtigte;207178;-
5;113;Wähler;160350;-
5;113;Ungültige;1673;1255
5;113;Gültige;158677;159095
5;113;CDU;61848;53622
5;113;SPD;52083;45626
5;113;GRÜNE;8762;9742
5;113;DIE LINKE;9462;10638
5;113;FDP;12644;19709
5;113;AfD;13614;14325
5;113;PIRATEN;-;664
5;113;NPD;-;362
5;113;Die PARTEI;-;1136
5;113;FREIE WÄHLER;-;380
5;113;Volksabstimmung;-;144
5;113;ÖDP;-;142
5;113;MLPD;264;121
5;113;SGP;-;10
5;113;AD-DEMOKRATEN;-;405
5;113;BGE;-;132
5;113;DiB;-;159
5;113;DKP;-;11
5;113;DM;-;156
5;113;Die Humanisten;-;71
5;113;Gesundheitsforschung;-;180
5;113;Tierschutzpartei;-;1209
5;113;V-Partei³;-;151
5;114;Wahlberechtigte;179117;-
5;114;Wähler;133606;-
5;114;Ungültige;1618;1194
5;114;Gültige;131988;132412
5;114;CDU;48601;40911
5;114;SPD;42316;36778
5;114;GRÜNE;8028;9289
5;114;DIE LINKE;7428;10089
5;114;FDP;10807;17916
5;114;AfD;11289;12172
5;114;PIRATEN;1424;662
5;114;NPD;-;252
5;114;Die PARTEI;1855;1249
5;114;FREIE WÄHLER;-;320
5;114;Volksabstimmung;-;110
5;114;ÖDP;-;111
5;114;MLPD;240;121
5;114;SGP;-;10
5;114;AD-DEMOKRATEN;-;670
5;114;BGE;-;176
5;114;DiB;-;143
5;114;DKP;-;34
5;114;DM;-;164
5;114;Die Humanisten;-;46
5;114;Gesundheitsforschung;-;110
5;114;Tierschutzpartei;-;957
5;114;V-Partei³;-;122
5;115;Wahlberechtigte;167998;-
5;115;Wähler;121638;-
5;115;Ungültige;2868;2017
5;115;Gültige;118770;119621
5;115;CDU;34053;30746
5;115;SPD;45455;37926
5;115;GRÜNE;6649;7845
5;115;DIE LINKE;8146;10368
5;115;FDP;8290;12491
5;115;AfD;13648;13549
5;115;PIRATEN;2012;717
5;115;NPD;-;439
5;115;Die PARTEI;-;1353
5;115;FREIE WÄHLER;-;294
5;115;Volksabstimmung;-;107
5;115;ÖDP;-;106
5;115;MLPD;517;209
5;115;SGP;-;19
5;115;AD-DEMOKRATEN;-;1536
5;115;BGE;-;119
5;115;DiB;-;139
5;115;DKP;-;41
5;115;DM;-;132
5;115;Die Humanisten;-;86
5;115;Gesundheitsforschung;-;123
5;115;Tierschutzpartei;-;1110
5;115;V-Partei³;-;166
5;116;Wahlberechtigte;160204;-
5;116;Wähler;103815;-
5;116;Ungültige;3381;1927
5;116;Gültige;100434;101888
5;116;CDU;26585;22852
5;116;SPD;34983;34844
5;116;GRÜNE;4654;4519
5;116;DIE LINKE;8907;8558
5;116;FDP;6993;8313
5;116;AfD;16550;15719
5;116;PIRATEN;-;699
5;116;NPD;-;637
5;116;Die PARTEI;-;938
5;116;FREIE WÄHLER;-;262
5;116;Volksabstimmung;-;106
5;116;ÖDP;-;60
5;116;MLPD;364;210
5;116;SGP;-;21
5;116;AD-DEMOKRATEN;-;2455
5;116;BGE;-;109
5;116;DiB;-;104
5;116;DKP;-;49
5;116;DM;-;109
5;116;Die Humanisten;-;55
5;116;Gesundheitsforschung;-;120
5;116;Tierschutzpartei;-;1059
5;116;V-Partei³;-;90
5;116;EB: Datli;1398;-
5;117;Wahlberechtigte;204816;-
5;117;Wähler;150316;-
5;117;Ungültige;2195;1464
5;117;Gültige;148121;148852
5;117;CDU;43077;39141
5;117;SPD;56987;49228
5;117;GRÜNE;8349;8294
5;117;DIE LINKE;11331;12343
5;117;FDP;9357;14800
5;117;AfD;18197;18559
5;117;PIRATEN;-;782
5;117;NPD;-;507
5;117;Die PARTEI;-;1266
5;117;FREIE WÄHLER;-;361
5;117;Volksabstimmung;-;164
5;117;ÖDP;-;132
5;117;MLPD;269;150
5;117;SGP;-;23
5;117;AD-DEMOKRATEN;-;915
5;117;BGE;-;131
5;117;DiB;-;131
5;117;DKP;-;32
5;117;DM;-;113
5;117;Die Humanisten;-;87
5;117;Gesundheitsforschung;-;145
5;117;Tierschutzpartei;-;1382
5;117;V-Partei³;-;166
5;117;DIE VIOLETTEN;554;-
5;118;Wahlberechtigte;187746;-
5;118;Wähler;142872;-
5;118;Ungültige;1808;1212
5;118;Gültige;141064;141660
5;118;CDU;44219;39857
5;118;SPD;49222;41731
5;118;GRÜNE;8690;9465
5;118;DIE LINKE;9210;10546
5;118;FDP;12733;18338
5;118;AfD;16221;16200
5;118;PIRATEN;-;552
5;118;NPD;-;311
5;118;Die PARTEI;-;1230
5;118;FREIE WÄHLER;-;273
5;118;Volksabstimmung;-;116
5;118;ÖDP;-;134
5;118;MLPD;339;163
5;118;SGP;-;27
5;118;AD-DEMOKRATEN;-;570
5;118;BGE;-;135
5;118;DiB;-;179
5;118;DKP;-;62
5;118;DM;-;117
5;118;Die Humanisten;-;79
5;118;Gesundheitsforschung;-;133
5;118;Tierschutzpartei;-;1292
5;118;V-Partei³;-;150
5;118;DIE VIOLETTEN;430;-
5;119;Wahlberechtigte;163326;-
5;119;Wähler;110369;-
5;119;Ungültige;1615;1154
5;119;Gültige;108754;109215
5;119;CDU;28912;25606
5;119;SPD;40601;34727
5;119;GRÜNE;5846;6746
5;119;DIE LINKE;8555;9524
5;119;FDP;7207;10583
5;119;AfD;17153;16339
5;119;PIRATEN;-;576
5;119;NPD;-;378
5;119;Die PARTEI;-;1213
5;119;FREIE WÄHLER;-;250
5;119;Volksabstimmung;-;132
5;119;ÖDP;-;90
5;119;MLPD;257;186
5;119;SGP;-;8
5;119;AD-DEMOKRATEN;-;935
5;119;BGE;-;114
5;119;DiB;-;172
5;119;DKP;223;88
5;119;DM;-;128
5;119;Die Humanisten;-;77
5;119;Gesundheitsforschung;-;133
5;119;Tierschutzpartei;-;1088
5;119;V-Partei³;-;122
5;120;Wahlberechtigte;192918;-
5;120;Wähler;153336;-
5;120;Ungültige;1232;927
5;120;Gültige;152104;152409
5;120;CDU;56393;45826
5;120;SPD;46829;37699
5;120;GRÜNE;12511;14312
5;120;DIE LINKE;9846;12574
5;120;FDP;12639;23068
5;120;AfD;12306;12735
5;120;PIRATEN;-;554
5;120;NPD;-;259
5;120;Die PARTEI;-;1778
5;120;FREIE WÄHLER;-;302
5;120;Volksabstimmung;-;153
5;120;ÖDP;-;174
5;120;MLPD;208;134
5;120;SGP;-;13
5;120;AD-DEMOKRATEN;-;364
5;120;BGE;-;173
5;120;DiB;-;249
5;120;DKP;197;89
5;120;DM;-;115
5;120;Die Humanisten;-;97
5;120;Gesundheitsforschung;-;134
5;120;Tierschutzpartei;-;1356
5;120;V-Partei³;-;251
5;120;EB: Menga Nsibu;1175;-
5;121;Wahlberechtigte;169267;-
5;121;Wähler;123956;-
5;121;Ungültige;1717;1072
5;121;Gültige;122239;122884
5;121;CDU;37792;35108
5;121;SPD;47255;38822
5;121;GRÜNE;6079;7132
5;121;DIE LINKE;8043;8970
5;121;FDP;8791;12673
5;121;AfD;13953;14776
5;121;PIRATEN;-;548
5;121;NPD;-;362
5;121;Die PARTEI;-;1156
5;121;FREIE WÄHLER;-;320
5;121;Volksabstimmung;-;138
5;121;ÖDP;-;78
5;121;MLPD;326;169
5;121;SGP;-;8
5;121;AD-DEMOKRATEN;-;892
5;121;BGE;-;100
5;121;DiB;-;124
5;121;DKP;-;14
5;121;DM;-;109
5;121;Die Humanisten;-;66
5;121;Gesundheitsforschung;-;134
5;121;Tierschutzpartei;-;1060
5;121;V-Partei³;-;125
5;122;Wahlberechtigte;189375;-
5;122;Wähler;140799;-
5;122;Ungültige;4649;1284
5;122;Gültige;136150;139515
5;122;CDU;46996;41084
5;122;SPD;56011;44226
5;122;GRÜNE;6362;7136
5;122;DIE LINKE;11502;9225
5;122;FDP;13901;14783
5;122;AfD;-;17386
5;122;PIRATEN;-;663
5;122;NPD;-;310
5;122;Die PARTEI;-;891
5;122;FREIE WÄHLER;-;365
5;122;Volksabstimmung;-;174
5;122;ÖDP;-;104
5;122;MLPD;1378;162
5;122;SGP;-;6
5;122;AD-DEMOKRATEN;-;1026
5;122;BGE;-;111
5;122;DiB;-;98
5;122;DKP;-;25
5;122;DM;-;167
5;122;Die Humanisten;-;66
5;122;Gesundheitsforschung;-;150
5;122;Tierschutzpartei;-;1234
5;122;V-Partei³;-;123
5;123;Wahlberechtigte;175210;-
5;123;Wähler;119414;-
5;123;Ungültige;1991;1348
5;123;Gültige;117423;118066
5;123;CDU;29767;26451
5;123;SPD;45007;39524
5;123;GRÜNE;5444;5489
5;123;DIE LINKE;7613;8702
5;123;FDP;7874;10834
5;123;AfD;19836;20113
5;123;PIRATEN;-;550
5;123;NPD;-;417
5;123;Die PARTEI;-;1010
5;123;FREIE WÄHLER;1276;461
5;123;Volksabstimmung;-;132
5;123;ÖDP;-;107
5;123;MLPD;606;388
5;123;SGP;-;24
5;123;AD-DEMOKRATEN;-;1902
5;123;BGE;-;115
5;123;DiB;-;100
5;123;DKP;-;37
5;123;DM;-;90
5;123;Die Humanisten;-;75
5;123;Gesundheitsforschung;-;163
5;123;Tierschutzpartei;-;1273
5;123;V-Partei³;-;109
5;124;Wahlberechtigte;202202;-
5;124;Wähler;154606;-
5;124;Ungültige;1435;1036
5;124;Gültige;153171;153570
5;124;CDU;78487;67423
5;124;SPD;39581;35463
5;124;GRÜNE;8122;9142
5;124;DIE LINKE;7554;8432
5;124;FDP;10158;19339
5;124;AfD;9269;9718
5;124;PIRATEN;-;541
5;124;NPD;-;255
5;124;Die PARTEI;-;883
5;124;FREIE WÄHLER;-;368
5;124;Volksabstimmung;-;90
5;124;ÖDP;-;122
5;124;MLPD;-;56
5;124;SGP;-;7
5;124;AD-DEMOKRATEN;-;290
5;124;BGE;-;117
5;124;DiB;-;123
5;124;DKP;-;15
5;124;DM;-;130
5;124;Die Humanisten;-;72
5;124;Gesundheitsforschung;-;124
5;124;Tierschutzpartei;-;765
5;124;V-Partei³;-;95
5;125;Wahlberechtigte;202793;-
5;125;Wähler;151873;-
5;125;Ungültige;2003;1345
5;125;Gültige;149870;150528
5;125;CDU;50310;44974
5;125;SPD;55107;47013
5;125;GRÜNE;6524;7246
5;125;DIE LINKE;9499;10291
5;125;FDP;9703;15740
5;125;AfD;17783;18719
5;125;PIRATEN;-;669
5;125;NPD;-;422
5;125;Die PARTEI;-;1059
5;125;FREIE WÄHLER;-;295
5;125;Volksabstimmung;-;159
5;125;ÖDP;-;340
5;125;MLPD;258;119
5;125;SGP;-;12
5;125;AD-DEMOKRATEN;-;1140
5;125;BGE;-;106
5;125;DiB;-;112
5;125;DKP;686;338
5;125;DM;-;129
5;125;Die Humanisten;-;57
5;125;Gesundheitsforschung;-;143
5;125;Tierschutzpartei;-;1325
5;125;V-Partei³;-;120
5;126;Wahlberechtigte;199978;-
5;126;Wähler;158157;-
5;126;Ungültige;2393;1104
5;126;Gültige;155764;157053
5;126;CDU;81491;73881
5;126;SPD;39412;33698
5;126;GRÜNE;10496;9220
5;126;DIE LINKE;6968;6539
5;126;FDP;14217;20610
5;126;AfD;-;9401
5;126;PIRATEN;-;441
5;126;NPD;-;195
5;126;Die PARTEI;-;711
5;126;FREIE WÄHLER;3180;553
5;126;Volksabstimmung;-;100
5;126;ÖDP;-;157
5;126;MLPD;-;44
5;126;SGP;-;13
5;126;AD-DEMOKRATEN;-;123
5;126;BGE;-;65
5;126;DiB;-;99
5;126;DKP;-;22
5;126;DM;-;104
5;126;Die Humanisten;-;76
5;126;Gesundheitsforschung;-;125
5;126;Tierschutzpartei;-;768
5;126;V-Partei³;-;108
5;127;Wahlberechtigte;192946;-
5;127;Wähler;156811;-
5;127;Ungültige;2430;985
5;127;Gültige;154381;155826
5;127;CDU;79677;68636
5;127;SPD;36250;32787
5;127;GRÜNE;12680;11667
5;127;DIE LINKE;9578;8394
5;127;FDP;16196;21106
5;127;AfD;-;9506
5;127;PIRATEN;-;495
5;127;NPD;-;233
5;127;Die PARTEI;-;841
5;127;FREIE WÄHLER;-;248
5;127;Volksabstimmung;-;110
5;127;ÖDP;-;178
5;127;MLPD;-;31
5;127;SGP;-;7
5;127;AD-DEMOKRATEN;-;50
5;127;BGE;-;85
5;127;DiB;-;143
5;127;DKP;-;18
5;127;DM;-;130
5;127;Die Humanisten;-;65
5;127;Gesundheitsforschung;-;139
5;127;Tierschutzpartei;-;844
5;127;V-Partei³;-;113
5;128;Wahlberechtigte;195571;-
5;128;Wähler;152541;-
5;128;Ungültige;1368;1154
5;128;Gültige;151173;151387
5;128;CDU;67675;57214
5;128;SPD;45796;41813
5;128;GRÜNE;9857;11026
5;128;DIE LINKE;8520;9692
5;128;FDP;8533;17204
5;128;AfD;9530;10341
5;128;PIRATEN;-;560
5;128;NPD;-;259
5;128;Die PARTEI;-;899
5;128;FREIE WÄHLER;1124;431
5;128;Volksabstimmung;-;68
5;128;ÖDP;-;118
5;128;MLPD;138;68
5;128;SGP;-;12
5;128;AD-DEMOKRATEN;-;264
5;128;BGE;-;105
5;128;DiB;-;106
5;128;DKP;-;20
5;128;DM;-;119
5;128;Die Humanisten;-;52
5;128;Gesundheitsforschung;-;113
5;128;Tierschutzpartei;-;794
5;128;V-Partei³;-;109
5;129;Wahlberechtigte;232294;-
5;129;Wähler;191135;-
5;129;Ungültige;1279;1013
5;129;Gültige;189856;190122
5;129;CDU;70605;62275
5;129;SPD;54778;39714
5;129;GRÜNE;24248;27738
5;129;DIE LINKE;13024;19285
5;129;FDP;13219;25683
5;129;AfD;8570;9392
5;129;PIRATEN;1004;712
5;129;NPD;-;114
5;129;Die PARTEI;2722;1935
5;129;FREIE WÄHLER;-;246
5;129;Volksabstimmung;-;110
5;129;ÖDP;1027;641
5;129;MLPD;108;64
5;129;SGP;-;8
5;129;AD-DEMOKRATEN;-;137
5;129;BGE;-;218
5;129;DiB;-;337
5;129;DKP;173;66
5;129;DM;-;193
5;129;Die Humanisten;-;157
5;129;Gesundheitsforschung;-;95
5;129;Tierschutzpartei;-;780
5;129;V-Partei³;-;222
5;129;EB: Abaga Ayingono;224;-
5;129;EB: Overdiek;154;-
5;130;Wahlberechtigte;209604;-
5;130;Wähler;163574;-
5;130;Ungültige;1990;1435
5;130;Gültige;161584;162139
5;130;CDU;75014;65356
5;130;SPD;45095;38990
5;130;GRÜNE;8968;10815
5;130;DIE LINKE;7738;8997
5;130;FDP;11291;21174
5;130;AfD;11078;12024
5;130;PIRATEN;-;544
5;130;NPD;-;271
5;130;Die PARTEI;1886;1048
5;130;FREIE WÄHLER;-;475
5;130;Volksabstimmung;-;142
5;130;ÖDP;-;153
5;130;MLPD;-;30
5;130;SGP;-;13
5;130;AD-DEMOKRATEN;-;621
5;130;BGE;-;102
5;130;DiB;-;90
5;130;DKP;-;12
5;130;DM;-;154
5;130;Die Humanisten;-;68
5;130;Gesundheitsforschung;-;124
5;130;Tierschutzpartei;-;803
5;130;V-Partei³;-;133
5;130;EB: Barton;514;-
5;131;Wahlberechtigte;234272;-
5;131;Wähler;176762;-
5;131;Ungültige;2126;1731
5;131;Gültige;174636;175031
5;131;CDU;81300;67178
5;131;SPD;48946;40106
5;131;GRÜNE;9993;13817
5;131;DIE LINKE;7583;10594
5;131;FDP;11401;22848
5;131;AfD;13998;15082
5;131;PIRATEN;-;595
5;131;NPD;-;329
5;131;Die PARTEI;-;1080
5;131;FREIE WÄHLER;1415;655
5;131;Volksabstimmung;-;152
5;131;ÖDP;-;220
5;131;MLPD;-;47
5;131;SGP;-;10
5;131;AD-DEMOKRATEN;-;454
5;131;BGE;-;138
5;131;DiB;-;130
5;131;DKP;-;21
5;131;DM;-;178
5;131;Die Humanisten;-;77
5;131;Gesundheitsforschung;-;167
5;131;Tierschutzpartei;-;975
5;131;V-Partei³;-;178
5;132;Wahlberechtigte;246216;-
5;132;Wähler;186137;-
5;132;Ungültige;2076;1534
5;132;Gültige;184061;184603
5;132;CDU;56481;50989
5;132;SPD;61086;46883
5;132;GRÜNE;17728;20656
5;132;DIE LINKE;16488;20484
5;132;FDP;13491;21314
5;132;AfD;14988;16478
5;132;PIRATEN;-;953
5;132;NPD;-;288
5;132;Die PARTEI;3480;2179
5;132;FREIE WÄHLER;-;388
5;132;Volksabstimmung;-;141
5;132;ÖDP;-;201
5;132;MLPD;319;144
5;132;SGP;-;28
5;132;AD-DEMOKRATEN;-;1043
5;132;BGE;-;263
5;132;DiB;-;293
5;132;DKP;-;47
5;132;DM;-;236
5;132;Die Humanisten;-;125
5;132;Gesundheitsforschung;-;139
5;132;Tierschutzpartei;-;1091
5;132;V-Partei³;-;240
5;133;Wahlberechtigte;228976;-
5;133;Wähler;168662;-
5;133;Ungültige;2087;1631
5;133;Gültige;166575;167031
5;133;CDU;59532;52998
5;133;SPD;61237;47933
5;133;GRÜNE;8439;11485
5;133;DIE LINKE;9353;11592
5;133;FDP;9405;19181
5;133;AfD;16633;18097
5;133;PIRATEN;-;641
5;133;NPD;-;342
5;133;Die PARTEI;-;1004
5;133;FREIE WÄHLER;1976;967
5;133;Volksabstimmung;-;153
5;133;ÖDP;-;133
5;133;MLPD;-;70
5;133;SGP;-;8
5;133;AD-DEMOKRATEN;-;403
5;133;BGE;-;112
5;133;DiB;-;127
5;133;DKP;-;23
5;133;DM;-;159
5;133;Die Humanisten;-;73
5;133;Gesundheitsforschung;-;140
5;133;Tierschutzpartei;-;1219
5;133;V-Partei³;-;171
5;134;Wahlberechtigte;204203;-
5;134;Wähler;151180;-
5;134;Ungültige;1663;1512
5;134;Gültige;149517;149668
5;134;CDU;53054;49159
5;134;SPD;55863;43967
5;134;GRÜNE;7371;9625
5;134;DIE LINKE;7861;9432
5;134;FDP;10575;16865
5;134;AfD;14793;15825
5;134;PIRATEN;-;626
5;134;NPD;-;294
5;134;Die PARTEI;-;1052
5;134;FREIE WÄHLER;-;447
5;134;Volksabstimmung;-;148
5;134;ÖDP;-;157
5;134;MLPD;-;51
5;134;SGP;-;4
5;134;AD-DEMOKRATEN;-;229
5;134;BGE;-;166
5;134;DiB;-;121
5;134;DKP;-;19
5;134;DM;-;156
5;134;Die Humanisten;-;79
5;134;Gesundheitsforschung;-;146
5;134;Tierschutzpartei;-;946
5;134;V-Partei³;-;154
5;135;Wahlberechtigte;170501;-
5;135;Wähler;128938;-
5;135;Ungültige;1661;1401
5;135;Gültige;127277;127537
5;135;CDU;46526;40214
5;135;SPD;40908;35509
5;135;GRÜNE;7671;8869
5;135;DIE LINKE;6870;8399
5;135;FDP;10690;15916
5;135;AfD;13005;14147
5;135;PIRATEN;-;550
5;135;NPD;-;278
5;135;Die PARTEI;-;787
5;135;FREIE WÄHLER;1607;871
5;135;Volksabstimmung;-;121
5;135;ÖDP;-;121
5;135;MLPD;-;39
5;135;SGP;-;7
5;135;AD-DEMOKRATEN;-;185
5;135;BGE;-;115
5;135;DiB;-;78
5;135;DKP;-;19
5;135;DM;-;182
5;135;Die Humanisten;-;56
5;135;Gesundheitsforschung;-;100
5;135;Tierschutzpartei;-;879
5;135;V-Partei³;-;95
5;136;Wahlberechtigte;211026;-
5;136;Wähler;159796;-
5;136;Ungültige;2028;1694
5;136;Gültige;157768;158102
5;136;CDU;69875;58907
5;136;SPD;42190;39022
5;136;GRÜNE;9387;10182
5;136;DIE LINKE;8722;10186
5;136;FDP;10805;19529
5;136;AfD;14439;15192
5;136;PIRATEN;-;610
5;136;NPD;-;340
5;136;Die PARTEI;-;952
5;136;FREIE WÄHLER;1479;749
5;136;Volksabstimmung;-;120
5;136;ÖDP;871;346
5;136;MLPD;-;32
5;136;SGP;-;11
5;136;AD-DEMOKRATEN;-;211
5;136;BGE;-;158
5;136;DiB;-;95
5;136;DKP;-;16
5;136;DM;-;149
5;136;Die Humanisten;-;55
5;136;Gesundheitsforschung;-;145
5;136;Tierschutzpartei;-;956
